smiles,label0
O=C(CSc1ccc(Cl)cc1)Nc1nc(-c2ccccn2)cs1,1.0
CCCN1C(=O)CCc2cc(NS(=O)(=O)Cc3ccc(C)cc3)ccc21,1.0
COc1ccc(C(c2ccc3c(OC)cccc3c2O)N2CCOCC2)cc1,0.0
CCNC(=O)c1cccc(NC(=O)COc2cnn(Cc3ccc(F)cc3)c2)c1,0.0
OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,1.0
COc1ccc([C@]2(O)CC[C@@H](N3CC[C@@H](NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cn1,1.0
CCN(CC)c1ccc(N/C(C)=C2/C(=O)N(c3ccc(Cl)cc3)C(=O)N=C2O)cc1,0.0
C[C@@H](CCC(=O)NCCNC(=O)CC[C@@H](C)[C@H]1CCC2C3CCC4C[C@H](O)CC[C@]4(C)C3C[C@@H](O)[C@@]21C)[C@H]1CCC2C3CCC4C[C@H](O)CC[C@]4(C)C3C[C@@H](O)[C@@]21C,0.0
C[C@H](CCC(=O)NCCNC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,0.0
CNC(=O)[C@@H]1C[C@@H](N)CN1C(=O)CCC(=O)Nc1ccc2c(c1)CCC2,0.0
Nc1ccc(-c2ccccc2)cc1NC(=O)c1cn(CCc2ccccc2)nn1,0.0
Nc1cc(C(F)(F)F)c(-c2nc3c(c(N4CCOCC4)n2)CCN(C(=O)c2cc(Cc4n[nH]c(=O)c5ccccc45)ccc2F)C3)cn1,1.0
CN(CC1(O)CCCN(c2cnccn2)C1)C(=O)Cc1cccnc1,0.0
COc1cc(CN2CCN(c3ccccc3C(O)c3nccn3C)CC2)cc(OC)c1,0.0
CCOc1ncccc1C(=O)Nc1ccc(C(=O)Nc2ccccc2OC)cc1,0.0
Cc1nc2c([nH]1)CN(C(=O)c1ccccc1SCc1noc(C)n1)CC2,0.0
C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CCC2=O,1.0
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,1.0
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,1.0
COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,1.0
CNS(=O)(=O)C[C@H]1CC[C@H](N(C)c2ncnc3[nH]ccc23)CC1,1.0
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,1.0
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,1.0
O=C(C1CCn2ncnc2C1)N1CCCC(OCC(F)(F)F)C1,0.0
Cc1nccn1C[C@H]1CCc2c(c3cccc4c3n2CCC4)C1=O,1.0
Cc1nccn1CC1CCc2c(c3cccc4c3n2CCC4)C1=O,1.0
O=C1COc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
O=C(NCc1cn2cc(CNCC3CCCCC3)ccc2n1)c1cc(=O)n2ccccc2n1,1.0
C=C(C)Cn1c(N2CCCCC2)nc2c1c(=O)n(C)c(=O)n2C,0.0
O=C(c1ccccc1)C1CCCCC1,1.0
CC1OC(C)OC(C)OC(C)O1,1.0
Cn1cc(-c2ccc(CN3Cc4ncccc4C3=O)c(F)c2)cn1,1.0
CC(=O)OC[C@H]1O[C@@H](n2cc(CO)nn2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,0.0
CC1SC2(CCN(C)CC2)CN1C(=O)CCc1c[nH]c2ccccc12,1.0
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,0.0
O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O,1.0
O=C1c2cccc3cc([N+](=O)[O-])cc(c23)C(=O)N1NCCO,1.0
O=C(O)CCCN1C(=O)c2cccc3cccc(c23)C1=O,1.0
Nc1ccc2c3c(cccc13)C(=O)NC2=O,1.0
NCCCNCCCCNCCCN1C(=O)c2cccc3cccc(c23)C1=O,0.0
CN(C)CCCN1C(=O)c2cccc3c(Br)ccc(c23)C1=O,0.0
O=C1c2cccc3cccc(c23)C(=O)N1CCO,0.0
O=C(CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1)Nc1ccc(F)cc1,0.0
O=C(NCC(=O)N1N=C(c2cccs2)CC1c1ccc(F)cc1)C1CCCC1,0.0
CN(C)C(C(=O)NCc1coc(-c2ccccc2)n1)c1ccc2c(c1)OCO2,0.0
CC(C)C(=O)c1cn(CC(=O)COc2ccc(Oc3ccccc3)cc2)c2ccc(C(=O)O)cc12,1.0
C=C(C)CSc1nnc2c(n1)[nH]c1ccccc12,1.0
C=C(C)CSc1nnc2c(n1)[nH]c1cc(Br)ccc12,1.0
CCn1c2ccccc2c2nnc(SCC(=O)O)nc21,0.0
CSc1nc2cc(Oc3cccc(Cl)c3Cl)c(Cl)cc2[nH]1,1.0
Cc1cc(C)c(-c2ccc(NC(=O)[C@H](Cc3ccc(C(=O)NCCS(=O)(=O)O)cc3)c3ccc(-c4ccc(C(C)(C)C)cc4)cc3)cc2)c(C)c1,1.0
COCCN(CCOc1ccccc1F)C(=O)c1n[nH]c2c1COCC2,0.0
CC(C)n1nc(-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)c2c(N)ncnc21,1.0
c1cncc(OCC2CN(Cc3nccs3)Cc3nccn3C2)c1,0.0
CC#CC#C/C=C1/C=CC2(CCCO2)O1,1.0
O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl,1.0
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,1.0
O=C(O)c1cccnc1Nc1ccc(Cl)cc1,1.0
Cc1c(Cl)cccc1Nc1ncccc1C(=O)O,1.0
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.0
COC(=O)CSC1=C(C#N)C(c2ccccc2)CC(=O)N1,0.0
Cc1ccc(NCc2cccn2-c2nnc(N3CCC(C(=O)NCC(C)(C)O)CC3)s2)cc1,0.0
COc1ccc(Cn2c3ncnc4c(ncn4Cc4ccc(OC)cc4)c-3nc2=O)cc1,1.0
Cn1cc(C(=O)[C@@H]2CCc3nc[nH]c3C2)c2ccccc21,1.0
CNC(=O)c1cc(C(=O)NC2CC2)cn(Cc2ccccc2)c1=O,1.0
CC(C)Oc1cccc(/C=C2\SC(=O)NC2=O)c1N1CCC[C@@H](N)C1,1.0
O=C1CC(NC2COCc3ncccc32)CN1c1ccccc1F,0.0
COc1cc(C(=O)N2CCNC(=O)C2c2cccc(C)c2)n[nH]1,0.0
CCCN1C(=O)CN(C2CCCCC2)C(=O)C1c1ccc(OC)c(OC)c1,0.0
CN1CCN(C(=O)C(c2cccnc2)N2CCOCC2)CC12CCOCC2,0.0
Cc1cccc(-n2ncc(Cl)c(Cl)c2=O)c1,1.0
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,1.0
O=c1c(Cl)c(Cl)cnn1-c1ccccc1,0.0
CCCCC(Nc1cnn(-c2ccccc2C(=O)OC)c(=O)c1Cl)C(=O)O,0.0
COC(C(=O)C(O)C(C)O)C1Cc2cc3cc(OC4CC(OC(C)=O)C(OC5CC(O)C(OC)C(C)O5)C(C)O4)cc(O)c3c(O)c2C(=O)C1OC1CC(OC2CC(OC3CC(C)(O)C(OC(=O)C(C)C)C(C)O3)C(O)C(C)O2)C(O)C(C)O1,0.0
COc1cccc(CN2CCC(c3nc(O)cc(-c4ccncc4)n3)CC2)c1OC,0.0
C=CCN1C(=O)NC(=O)/C(=C(/CC)NCCC2=CCCCC2)C1=O,0.0
C=CCn1c(=O)c2cnc(Nc3ccc4c(c3)CN(C)CC43CC3)nc2n1-c1cccc(C(C)(C)O)n1,1.0
CC(C)c1ccccc1NC(=O)CCN1CCC2(CCC(=O)N2C)CC1,0.0
O=C(Nc1ccccc1Cl)N1CCC(c2nc(-c3ccc4ccccc4n3)no2)CC1,0.0
CCCCC(NC(=O)c1c(F)cccc1OC)c1cccnc1,0.0
C1CCc2nnc(-c3nnc4n3CCCCC4)n2CC1,0.0
CCN1CCc2nc3ccccc3c(C(=O)NCC3(OC)CCOCC3)c2C1,0.0
O=S1(=O)CCN2C=CC=C(c3ccc(Oc4ccccc4)cc3)C2=N1,1.0
CC(C)Cc1sc(-c2nccs2)nc1C(=O)NCc1ccc(F)cc1,1.0
CC1(C)Cc2c(sc3nc4n(c(=N)c23)CCCCC4)CO1,0.0
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,1.0
Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O,1.0
CC(C)c1nc2cc(O)ccc2c(=O)n1-c1ccc(C#N)cc1,1.0
CC(C)(C)c1nc2ccccc2c(=O)n1-c1ccc(F)cc1F,0.0
COc1ccccc1-n1c(C)nc2ccccc2c1=O,0.0
CO[C@@]12CC[C@@]3(C[C@@H]1[C@@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,0.0
COc1ccc(Cc2ccc(NC(N)=O)cc2)cc1-c1cccc(Cl)c1,1.0
O=C(Nc1ccccc1N1CCC(O)CC1)C1CCNCC1,0.0
COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,0.0
CC1CCc2c(sc3nc(-c4cccnc4)nc(NC4CCN(CC(N)=O)CC4)c23)C1,0.0
Cn1c(Cc2nc3cc(C(N)=O)ccc3[nH]2)nc2ccc(C(=O)NC(CP(=O)(O)O)C(=O)O)cc21,0.0
Cn1c(Cc2nc3ccccc3n2C)nc2ccccc21,0.0
O=C(NCc1ncccc1F)c1csc(CCNCc2nc3ccccc3[nH]2)n1,0.0
NC(C(=O)O)c1nn[nH]n1,1.0
CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,1.0
