________________________________________Multi-GNN____________________________________________________
HCAR1_random,0.963,0.004,0.901,0.007,0.907,0.017,0.895,0.027,0.9,0.008,28
HCAR1_bm,0.96,0.009,0.9,0.015,0.911,0.035,0.885,0.032,0.897,0.023,28
HCAR1_k_random,0.844,0.013,0.765,0.013,0.752,0.015,0.792,0.038,0.771,0.022,24
HCAR1_k_bm,0.836,0.018,0.758,0.017,0.762,0.035,0.766,0.042,0.763,0.015,26
