smiles,label0
C=CC(=O)N1CCCc2ccc(C(=O)Nc3ccc(S(=O)(=O)F)c(C)c3)cc21,0.0
Oc1ccc2ncn(-c3ccccc3C3CC3)c2n1,1.0
Oc1ccc2nc(Cl)n(-c3ccccc3C3CC3)c2n1,1.0
Oc1ccc(-c2ccc3ccccc3n2)c2ccccc12,1.0
CN(C)C(=O)c1cccc(CCNC(=O)c2ccc(Cl)nc2OC2CCC2)c1,0.0
CC(C)(C)c1ccc(C(=S)NCCCn2ccnc2)cc1,0.0
O=C1CCC(N2Cc3c(cccc3-n3cc(COC4CCCCO4)nn3)C2=O)C(=O)N1,0.0
O=C1CCNc2ccc(Cl)cc2N1c1ccccc1,1.0
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1,1.0
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,1.0
COc1ccc(-c2oc3c(OC)c(O)cc(O)c3c(=O)c2O)cc1,1.0
COc1cc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)ccc1O,1.0
Cc1ccc2oc(-c3ccccc3)cc(=O)c2c1,1.0
COc1cc(OC)c2c(=O)cc(-c3cc(OC)c(OC)c(OC)c3)oc2c1,1.0
COc1ccc(-c2cc(=O)c3ccc(O)cc3o2)cc1,1.0
COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1O,1.0
COc1cc(OC)c2c(=O)cc(-c3ccccc3)oc2c1OC,1.0
O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12,1.0
COc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O,1.0
O=c1c(O)c(-c2ccc(O)cc2)oc2c(O)c(O)cc(O)c12,1.0
CC(C)=CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(C(F)(F)F)cc3)oc12,1.0
COc1cccc2oc(-c3ccccc3)cc(=O)c12,1.0
COc1c(-c2ccccc2)oc2ccccc2c1=O,1.0
COc1ccc(-c2oc3ccccc3c(=O)c2N)cc1N,1.0
CC(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,1.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1.0
COc1c(-c2ccccc2)oc2cc(O)cc(O)c2c1=O,1.0
COc1ccccc1-c1cc(=O)c2ccccc2o1,1.0
O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,1.0
O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,1.0
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,1.0
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,1.0
O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12,1.0
COc1c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c2c1=O,1.0
COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1OC,1.0
O=c1cc(-c2ccc(O)cc2)oc2ccccc12,1.0
COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O,1.0
COc1cc(O)c2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1,1.0
COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1OC,1.0
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1OC,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,1.0
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,1.0
CC(C)=CCc1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,1.0
O=c1c(O)c(-c2ccccc2)oc2ccc(O)cc12,1.0
COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,1.0
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)ccc12,1.0
COc1ccc(-c2cc(=O)c3c(OC)cc(OC)c(OC)c3o2)cc1,1.0
COc1ccc(-c2oc3c(CC=C(C)C)c(O)cc(O)c3c(=O)c2O)cc1,1.0
O=c1cc(-c2ccccc2)oc2ccc(O)cc12,1.0
O=c1cc(-c2ccc(O)c(O)c2O)oc2ccccc12,1.0
COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,1.0
O=c1cc(-c2ccc(O)c(O)c2)oc2ccccc12,1.0
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,1.0
CC(C)=CCc1cc2c(=O)cc(-c3ccc(O)cc3)oc2cc1O,1.0
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1OC,1.0
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc2c1,1.0
CC(C)(O)CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc12,1.0
O=c1cc(-c2ccc(O)cc2)oc2cccc(O)c12,1.0
COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1OC,1.0
